Processing stained_glass.midi...
Track 0: 
Track 1: [Staff 1]
Note Start: 1, Note End: 23836, Note Name: G6, Velocity: 75
Note Start: 0, Note End: 4096, Note Name: E1, Velocity: 90
Note Start: 110, Note End: 10152, Note Name: C6, Velocity: 75
Note Start: 110, Note End: 21311, Note Name: F#6, Velocity: 75
Note Start: 111, Note End: 11225, Note Name: G#6, Velocity: 75
Note Start: 12, Note End: 34309, Note Name: D7, Velocity: 70
Note Start: 243, Note End: 9736, Note Name: D5, Velocity: 67
Note Start: 0, Note End: 12035, Note Name: E5, Velocity: 77
Note Start: 1, Note End: 30491, Note Name: D5, Velocity: 67
Note Start: 0, Note End: 12035, Note Name: E5, Velocity: 77
Note Start: 5, Note End: 580, Note Name: G#5, Velocity: 80
Note Start: 31, Note End: 17685, Note Name: A#5, Velocity: 86
Note Start: 0, Note End: 24587, Note Name: A#6, Velocity: 96
Note Start: 0, Note End: 30490, Note Name: D5, Velocity: 67
Note Start: 0, Note End: 12035, Note Name: E5, Velocity: 81
Note Start: 1, Note End: 19987, Note Name: A#5, Velocity: 62
Note Start: 0, Note End: 24587, Note Name: A#6, Velocity: 72
Note Start: 0, Note End: 575, Note Name: G#5, Velocity: 75
Note Start: 1, Note End: 19987, Note Name: A#5, Velocity: 90
Note Start: 0, Note End: 24587, Note Name: A#6, Velocity: 100
Note Start: 0, Note End: 35380, Note Name: D4, Velocity: 90
Note Start: 0, Note End: 35350, Note Name: E4, Velocity: 104
Note Start: 1, Note End: 19987, Note Name: A#5, Velocity: 68
Note Start: 0, Note End: 24587, Note Name: A#6, Velocity: 82
Note Start: 0, Note End: 11461, Note Name: G#4, Velocity: 76
Note Start: 1, Note End: 36154, Note Name: F#5, Velocity: 97
Note Start: 0, Note End: 32662, Note Name: F#6, Velocity: 111
Note Start: 0, Note End: 35380, Note Name: D4, Velocity: 97
Note Start: 0, Note End: 35350, Note Name: E4, Velocity: 111
Note Start: 1, Note End: 19987, Note Name: A#5, Velocity: 75
Note Start: 0, Note End: 24587, Note Name: A#6, Velocity: 89
Note Start: 0, Note End: 11461, Note Name: G#4, Velocity: 88
Note Start: 218, Note End: 697, Note Name: A#4, Velocity: 85
Note Start: 1, Note End: 12689, Note Name: D#5, Velocity: 103
Note Start: 0, Note End: 13065, Note Name: D#6, Velocity: 117
Note Start: 0, Note End: 35380, Note Name: D4, Velocity: 103
Note Start: 0, Note End: 35350, Note Name: E4, Velocity: 117
Note Start: 1, Note End: 12178, Note Name: F5, Velocity: 81
Note Start: 0, Note End: 37083, Note Name: F6, Velocity: 95
Note Start: 0, Note End: 11461, Note Name: G#4, Velocity: 89
Note Start: 1, Note End: 37271, Note Name: B4, Velocity: 107
Note Start: 0, Note End: 37282, Note Name: B5, Velocity: 121
Note Start: 1, Note End: 795, Note Name: C5, Velocity: 108
Note Start: 0, Note End: 21503, Note Name: C6, Velocity: 122
Note Start: 55, Note End: 29008, Note Name: D4, Velocity: 109
Note Start: 0, Note End: 18719, Note Name: D#4, Velocity: 123
Note Start: 1, Note End: 12178, Note Name: F5, Velocity: 110
Note Start: 0, Note End: 37083, Note Name: F6, Velocity: 124
Note Start: 1, Note End: 11462, Note Name: G#4, Velocity: 95
Note Start: 1, Note End: 36154, Note Name: F#5, Velocity: 86
Note Start: 0, Note End: 32662, Note Name: F#6, Velocity: 100
Note Start: 5, Note End: 38174, Note Name: B0, Velocity: 127
Note Start: 0, Note End: 26112, Note Name: C#1, Velocity: 118
Note Start: 0, Note End: 38169, Note Name: D#1, Velocity: 118
Note Start: 0, Note End: 38184, Note Name: B1, Velocity: 127
Note Start: 1, Note End: 22534, Note Name: A5, Velocity: 36
Note Start: 247, Note End: 17935, Note Name: A3, Velocity: 36
Note Start: 1, Note End: 22534, Note Name: A5, Velocity: 36
Note Start: 1, Note End: 22534, Note Name: A5, Velocity: 36
Note Start: 0, Note End: 39196, Note Name: A3, Velocity: 36
Note Start: 155, Note End: 9372, Note Name: A5, Velocity: 36
Note Start: 0, Note End: 19986, Note Name: A#5, Velocity: 50
Note Start: 0, Note End: 39196, Note Name: A3, Velocity: 36
Note Start: 0, Note End: 10494, Note Name: A#3, Velocity: 50
Note Start: 155, Note End: 9372, Note Name: A5, Velocity: 67
Note Start: 0, Note End: 19986, Note Name: A#5, Velocity: 67
Note Start: 0, Note End: 21503, Note Name: C6, Velocity: 81
Note Start: 0, Note End: 39196, Note Name: A3, Velocity: 67
Note Start: 0, Note End: 10494, Note Name: A#3, Velocity: 67
Note Start: 0, Note End: 10494, Note Name: C4, Velocity: 81
Note Start: 1, Note End: 22534, Note Name: A5, Velocity: 36
Note Start: 0, Note End: 39196, Note Name: A3, Velocity: 36
Note Start: 1, Note End: 22534, Note Name: A5, Velocity: 36
Note Start: 0, Note End: 39196, Note Name: A3, Velocity: 36
Note Start: 20, Note End: 783, Note Name: G5, Velocity: 36
Note Start: 1, Note End: 576, Note Name: G#5, Velocity: 36
Note Start: 0, Note End: 39196, Note Name: A3, Velocity: 36
Note Start: 220, Note End: 3543, Note Name: G5, Velocity: 36
Note Start: 1, Note End: 327, Note Name: G5, Velocity: 28
Note Start: 0, Note End: 23835, Note Name: G6, Velocity: 42
Note Start: 0, Note End: 39196, Note Name: A3, Velocity: 36
Note Start: 1, Note End: 576, Note Name: G#5, Velocity: 28
Note Start: 0, Note End: 8137, Note Name: G#6, Velocity: 42
Note Start: 1, Note End: 327, Note Name: G5, Velocity: 23
Note Start: 0, Note End: 23835, Note Name: G6, Velocity: 37
Note Start: 31, Note End: 40450, Note Name: C2, Velocity: 26
Note Start: 0, Note End: 42766, Note Name: C#2, Velocity: 41
Note Start: 1, Note End: 19987, Note Name: A#5, Velocity: 28
Note Start: 0, Note End: 24587, Note Name: A#6, Velocity: 42
Note Start: 0, Note End: 39196, Note Name: A3, Velocity: 36
Note Start: 1, Note End: 576, Note Name: G#5, Velocity: 32
Note Start: 0, Note End: 8137, Note Name: G#6, Velocity: 46
Note Start: 1, Note End: 19987, Note Name: A#5, Velocity: 50
Note Start: 0, Note End: 24587, Note Name: A#6, Velocity: 64
Note Start: 0, Note End: 39196, Note Name: A3, Velocity: 58
Note Start: 1, Note End: 21504, Note Name: C6, Velocity: 62
Note Start: 0, Note End: 26624, Note Name: C7, Velocity: 76
Note Start: 1, Note End: 35351, Note Name: E4, Velocity: 28
Note Start: 0, Note End: 12035, Note Name: E5, Velocity: 42
Note Start: 0, Note End: 39196, Note Name: A3, Velocity: 36
Note Start: 1, Note End: 19987, Note Name: A#5, Velocity: 36
Note Start: 0, Note End: 24587, Note Name: A#6, Velocity: 50
Note Start: 21, Note End: 41977, Note Name: C2, Velocity: 45
Note Start: 0, Note End: 42766, Note Name: C#2, Velocity: 60
Note Start: 1, Note End: 21504, Note Name: C6, Velocity: 67
Note Start: 0, Note End: 26624, Note Name: C7, Velocity: 81
Note Start: 1, Note End: 39197, Note Name: A3, Velocity: 75
Note Start: 1, Note End: 35351, Note Name: E4, Velocity: 67
Note Start: 0, Note End: 12035, Note Name: E5, Velocity: 81
Note Start: 16, Note End: 9964, Note Name: C4, Velocity: 36
Note Start: 1, Note End: 12940, Note Name: D6, Velocity: 28
Note Start: 0, Note End: 34307, Note Name: D7, Velocity: 42
Note Start: 247, Note End: 24874, Note Name: G1, Velocity: 33
Note Start: 259, Note End: 20225, Note Name: C#2, Velocity: 36
Note Start: 146, Note End: 33688, Note Name: E2, Velocity: 39
Note Start: 148, Note End: 33731, Note Name: A2, Velocity: 43
Note Start: 148, Note End: 33898, Note Name: A#2, Velocity: 46
Note Start: 148, Note End: 34066, Note Name: D3, Velocity: 49
Note Start: 149, Note End: 34225, Note Name: E3, Velocity: 53
Note Start: 153, Note End: 33476, Note Name: A2, Velocity: 56
Note Start: 111, Note End: 35911, Note Name: C#3, Velocity: 58
Note Start: 111, Note End: 36034, Note Name: D#3, Velocity: 61
Note Start: 109, Note End: 36301, Note Name: B3, Velocity: 63
Note Start: 109, Note End: 27860, Note Name: A3, Velocity: 65
Note Start: 108, Note End: 626, Note Name: C#4, Velocity: 68
Note Start: 110, Note End: 7368, Note Name: D#4, Velocity: 70
Note Start: 112, Note End: 25775, Note Name: B4, Velocity: 72
Note Start: 5, Note End: 48318, Note Name: E7, Velocity: 75
Note Start: 0, Note End: 794, Note Name: C5, Velocity: 62
Note Start: 0, Note End: 794, Note Name: C#5, Velocity: 76
Note Start: 157, Note End: 11428, Note Name: A#6, Velocity: 75
Note Start: 112, Note End: 11210, Note Name: G#6, Velocity: 75
Note Start: 110, Note End: 25732, Note Name: F6, Velocity: 75
Note Start: 1, Note End: 12940, Note Name: D6, Velocity: 76
Note Start: 109, Note End: 18641, Note Name: C#6, Velocity: 77
Note Start: 110, Note End: 1714, Note Name: D#6, Velocity: 77
Note Start: 0, Note End: 4096, Note Name: E1, Velocity: 92
Note Start: 112, Note End: 18995, Note Name: D5, Velocity: 78
Note Start: 119, Note End: 10846, Note Name: A5, Velocity: 79
Note Start: 0, Note End: 42766, Note Name: C#2, Velocity: 78
Note Start: 78, Note End: 10573, Note Name: A#5, Velocity: 80
Note Start: 57, Note End: 40096, Note Name: E2, Velocity: 79
Note Start: 15, Note End: 12628, Note Name: D6, Velocity: 81
Note Start: 89, Note End: 2709, Note Name: D#6, Velocity: 81
Note Start: 22, Note End: 45098, Note Name: A2, Velocity: 81
Note Start: 49, Note End: 18982, Note Name: A#6, Velocity: 82
Note Start: 88, Note End: 19822, Note Name: C#6, Velocity: 70
Note Start: 0, Note End: 49937, Note Name: C#7, Velocity: 84
Note Start: 0, Note End: 46801, Note Name: A#2, Velocity: 83
Note Start: 148, Note End: 34066, Note Name: D3, Velocity: 84
Note Start: 1, Note End: 22534, Note Name: A5, Velocity: 84
Note Start: 84, Note End: 37484, Note Name: E3, Velocity: 85
Note Start: 23, Note End: 11530, Note Name: D#6, Velocity: 85
Note Start: 116, Note End: 25394, Note Name: F6, Velocity: 86
Note Start: 0, Note End: 46634, Note Name: A2, Velocity: 86
Note Start: 111, Note End: 1712, Note Name: A6, Velocity: 87
Note Start: 0, Note End: 47391, Note Name: C#3, Velocity: 87
Note Start: 111, Note End: 36833, Note Name: E7, Velocity: 83
Note Start: 0, Note End: 47514, Note Name: D#3, Velocity: 88
Note Start: 109, Note End: 36301, Note Name: B3, Velocity: 88
Note Start: 40, Note End: 18473, Note Name: A5, Velocity: 88
Note Start: 0, Note End: 39196, Note Name: A3, Velocity: 88
Note Start: 108, Note End: 18798, Note Name: C#6, Velocity: 88
Note Start: 0, Note End: 10494, Note Name: C#4, Velocity: 88
Note Start: 110, Note End: 1714, Note Name: D#6, Velocity: 88
Note Start: 0, Note End: 18719, Note Name: D#4, Velocity: 88
Note Start: 112, Note End: 13092, Note Name: A#6, Velocity: 88
Note Start: 0, Note End: 20996, Note Name: G4, Velocity: 83
Note Start: 29, Note End: 49664, Note Name: B6, Velocity: 105
Note Start: 0, Note End: 37270, Note Name: B4, Velocity: 93
Note Start: 25, Note End: 50432, Note Name: B6, Velocity: 83
Note Start: 1, Note End: 51967, Note Name: B6, Velocity: 76
Note Start: 1, Note End: 51967, Note Name: B6, Velocity: 72
Note Start: 1, Note End: 51967, Note Name: B6, Velocity: 67
Note Start: 5, Note End: 51971, Note Name: B6, Velocity: 62
Note Start: 0, Note End: 794, Note Name: C5, Velocity: 67
Note Start: 293, Note End: 2073, Note Name: C7, Velocity: 62
Note Start: 34, Note End: 48917, Note Name: B6, Velocity: 62
Note Start: 44, Note End: 17687, Note Name: A5, Velocity: 62
Note Start: 735, Note End: 2255, Note Name: C5, Velocity: 54
Note Start: 0, Note End: 794, Note Name: C#5, Velocity: 68
Note Start: 25, Note End: 50432, Note Name: B6, Velocity: 62
Note Start: 16, Note End: 26094, Note Name: C7, Velocity: 65
Note Start: 16, Note End: 24057, Note Name: A#6, Velocity: 62
Note Start: 16, Note End: 57145, Note Name: F7, Velocity: 62
Note Start: 505, Note End: 9323, Note Name: C5, Velocity: 29
Note Start: 0, Note End: 794, Note Name: C#5, Velocity: 29
Note Start: 0, Note End: 12688, Note Name: D#5, Velocity: 43
Note Start: 21, Note End: 57553, Note Name: A7, Velocity: 36
Note Start: 1, Note End: 576, Note Name: G#5, Velocity: 28
Note Start: 0, Note End: 19986, Note Name: A#5, Velocity: 28
Note Start: 0, Note End: 21503, Note Name: C6, Velocity: 42
Note Start: 5, Note End: 580, Note Name: G#5, Velocity: 33
Note Start: 0, Note End: 19986, Note Name: A#5, Velocity: 33
Note Start: 375, Note End: 2313, Note Name: A#6, Velocity: 110
Note Start: 1, Note End: 576, Note Name: G#5, Velocity: 80
Note Start: 0, Note End: 19986, Note Name: A#5, Velocity: 80
Note Start: 0, Note End: 21503, Note Name: C6, Velocity: 90
Note Start: 165, Note End: 44385, Note Name: A7, Velocity: 83
Note Start: 1, Note End: 22534, Note Name: A5, Velocity: 60
Note Start: 0, Note End: 19986, Note Name: A#5, Velocity: 49
Note Start: 0, Note End: 21503, Note Name: C6, Velocity: 55
Note Start: 83, Note End: 50491, Note Name: F#7, Velocity: 110
Note Start: 334, Note End: 21360, Note Name: A6, Velocity: 83
Note Start: 65, Note End: 53248, Note Name: C8, Velocity: 77
Note Start: 0, Note End: 22533, Note Name: A5, Velocity: 68
Note Start: 0, Note End: 19986, Note Name: A#5, Velocity: 68
Note Start: 0, Note End: 21503, Note Name: C6, Velocity: 82
Note Start: 1, Note End: 35351, Note Name: E4, Velocity: 28
Note Start: 0, Note End: 18719, Note Name: F4, Velocity: 28
Note Start: 0, Note End: 11461, Note Name: G#4, Velocity: 42
Note Start: 1, Note End: 35351, Note Name: E4, Velocity: 39
Note Start: 0, Note End: 18719, Note Name: F4, Velocity: 39
Note Start: 0, Note End: 11461, Note Name: G#4, Velocity: 34
Note Start: 1, Note End: 10495, Note Name: C4, Velocity: 39
Note Start: 0, Note End: 10494, Note Name: C#4, Velocity: 39
Note Start: 0, Note End: 11461, Note Name: G#4, Velocity: 34
Note Start: 259, Note End: 1294, Note Name: G6, Velocity: 36
Note Start: 342, Note End: 6695, Note Name: A#4, Velocity: 36
Note Start: 1, Note End: 10495, Note Name: C4, Velocity: 28
Note Start: 0, Note End: 10494, Note Name: C#4, Velocity: 28
Note Start: 0, Note End: 17148, Note Name: A4, Velocity: 42
Note Start: 167, Note End: 9884, Note Name: A#6, Velocity: 31
Note Start: 1, Note End: 10495, Note Name: C4, Velocity: 28
Note Start: 0, Note End: 10494, Note Name: C#4, Velocity: 28
Note Start: 0, Note End: 17148, Note Name: A4, Velocity: 38
Note Start: 82, Note End: 42322, Note Name: B6, Velocity: 36
Note Start: 21, Note End: 49163, Note Name: C#7, Velocity: 36
Note Start: 1, Note End: 64513, Note Name: A#0, Velocity: 30
Note Start: 297, Note End: 15222, Note Name: C4, Velocity: 28
Note Start: 0, Note End: 35380, Note Name: D4, Velocity: 28
Note Start: 0, Note End: 17148, Note Name: A4, Velocity: 38
Note Start: 412, Note End: 12202, Note Name: E3, Velocity: 36
Note Start: 1, Note End: 13066, Note Name: D#6, Velocity: 37
Note Start: 0, Note End: 10494, Note Name: C4, Velocity: 29
Note Start: 0, Note End: 35380, Note Name: D4, Velocity: 29
Note Start: 0, Note End: 17148, Note Name: A4, Velocity: 43
Note Start: 21, Note End: 65445, Note Name: B7, Velocity: 36
Note Start: 1, Note End: 10495, Note Name: C4, Velocity: 28
Note Start: 0, Note End: 35380, Note Name: D4, Velocity: 28
Note Start: 0, Note End: 37270, Note Name: B4, Velocity: 42
Note Start: 338, Note End: 6444, Note Name: G#4, Velocity: 36
Note Start: 0, Note End: 4096, Note Name: E1, Velocity: 32
Note Start: 21, Note End: 8717, Note Name: A#4, Velocity: 36
Note Start: 0, Note End: 11461, Note Name: G#4, Velocity: 41
Note Start: 289, Note End: 15500, Note Name: C4, Velocity: 28
Note Start: 0, Note End: 35380, Note Name: D4, Velocity: 28
Note Start: 0, Note End: 37270, Note Name: B4, Velocity: 38
Note Start: 21, Note End: 57553, Note Name: A7, Velocity: 36
Note Start: 1, Note End: 10495, Note Name: C4, Velocity: 28
Note Start: 0, Note End: 35380, Note Name: D4, Velocity: 28
Note Start: 0, Note End: 37270, Note Name: B4, Velocity: 38
Note Start: 1, Note End: 18720, Note Name: F4, Velocity: 28
Note Start: 0, Note End: 69115, Note Name: F#4, Velocity: 28
Note Start: 0, Note End: 794, Note Name: C#5, Velocity: 42
Note Start: 1, Note End: 47142, Note Name: E3, Velocity: 36
Note Start: 4, Note End: 330, Note Name: G5, Velocity: 33
Note Start: 0, Note End: 23835, Note Name: G6, Velocity: 47
Note Start: 1, Note End: 576, Note Name: G#5, Velocity: 28
Note Start: 0, Note End: 8137, Note Name: G#6, Velocity: 42
Note Start: 0, Note End: 38184, Note Name: B1, Velocity: 34
Note Start: 1, Note End: 327, Note Name: G5, Velocity: 36
Note Start: 341, Note End: 5728, Note Name: D4, Velocity: 29
Note Start: 0, Note End: 35350, Note Name: E4, Velocity: 39
Note Start: 21, Note End: 3897, Note Name: G#5, Velocity: 28
Note Start: 0, Note End: 8137, Note Name: G#6, Velocity: 42
Note Start: 1, Note End: 35381, Note Name: D4, Velocity: 28
Note Start: 0, Note End: 35350, Note Name: E4, Velocity: 42
Note Start: 1, Note End: 327, Note Name: G5, Velocity: 28
Note Start: 0, Note End: 23835, Note Name: G6, Velocity: 42
Note Start: 1, Note End: 35381, Note Name: D4, Velocity: 31
Note Start: 0, Note End: 18719, Note Name: D#4, Velocity: 45
Note Start: 1, Note End: 17149, Note Name: A4, Velocity: 36
Note Start: 1, Note End: 37084, Note Name: F6, Velocity: 28
Note Start: 0, Note End: 57675, Note Name: F7, Velocity: 42
Note Start: 31, Note End: 33079, Note Name: D4, Velocity: 28
Note Start: 0, Note End: 18719, Note Name: D#4, Velocity: 42
Note Start: 4, Note End: 17152, Note Name: A4, Velocity: 41
Note Start: 293, Note End: 526, Note Name: G5, Velocity: 28
Note Start: 0, Note End: 23835, Note Name: G6, Velocity: 42
Note Start: 1, Note End: 576, Note Name: G#5, Velocity: 29
Note Start: 0, Note End: 8137, Note Name: G#6, Velocity: 43
Note Start: 1, Note End: 327, Note Name: G5, Velocity: 34
Note Start: 0, Note End: 23835, Note Name: G6, Velocity: 48
Note Start: 0, Note End: 17148, Note Name: A4, Velocity: 42
Note Start: 1, Note End: 11462, Note Name: G#4, Velocity: 39
Note Start: 0, Note End: 575, Note Name: G#5, Velocity: 53
Note Start: 1, Note End: 9492, Note Name: A#4, Velocity: 44
Note Start: 0, Note End: 19986, Note Name: A#5, Velocity: 58
Note Start: 1, Note End: 11462, Note Name: G#4, Velocity: 50
Note Start: 0, Note End: 575, Note Name: G#5, Velocity: 64
Note Start: 0, Note End: 9491, Note Name: A#4, Velocity: 58
Note Start: 1, Note End: 795, Note Name: C5, Velocity: 50
Note Start: 0, Note End: 21503, Note Name: C6, Velocity: 64
Note Start: 1, Note End: 12036, Note Name: E5, Velocity: 69
Note Start: 0, Note End: 75106, Note Name: E6, Velocity: 83
Note Start: 1, Note End: 17149, Note Name: A4, Velocity: 65
Note Start: 0, Note End: 9491, Note Name: A#4, Velocity: 79
Note Start: 1, Note End: 37084, Note Name: F6, Velocity: 62
Note Start: 0, Note End: 57675, Note Name: F7, Velocity: 76
Note Start: 5, Note End: 29982, Note Name: C#6, Velocity: 41
Note Start: 0, Note End: 35380, Note Name: D4, Velocity: 37
Note Start: 0, Note End: 35350, Note Name: E4, Velocity: 51
Note Start: 16, Note End: 12535, Note Name: D#6, Velocity: 36
Note Start: 1, Note End: 29978, Note Name: C#6, Velocity: 36
Note Start: 0, Note End: 30490, Note Name: D5, Velocity: 23
Note Start: 0, Note End: 12035, Note Name: E5, Velocity: 37
Note Start: 1, Note End: 13066, Note Name: D#6, Velocity: 36
Note Start: 0, Note End: 35380, Note Name: D4, Velocity: 37
Note Start: 0, Note End: 35350, Note Name: E4, Velocity: 51
Note Start: 16, Note End: 29447, Note Name: C#6, Velocity: 36
Note Start: 1, Note End: 30491, Note Name: D5, Velocity: 28
Note Start: 0, Note End: 12035, Note Name: E5, Velocity: 42
Note Start: 16, Note End: 12535, Note Name: D#6, Velocity: 28
Note Start: 0, Note End: 13326, Note Name: D#7, Velocity: 42
Note Start: 1, Note End: 29978, Note Name: C#6, Velocity: 28
Note Start: 0, Note End: 49937, Note Name: C#7, Velocity: 42
Note Start: 0, Note End: 35380, Note Name: D4, Velocity: 37
Note Start: 0, Note End: 35350, Note Name: E4, Velocity: 51
Note Start: 1, Note End: 37283, Note Name: B5, Velocity: 37
Note Start: 0, Note End: 51966, Note Name: B6, Velocity: 51
Note Start: 1, Note End: 30491, Note Name: D5, Velocity: 23
Note Start: 0, Note End: 12035, Note Name: E5, Velocity: 37
Note Start: 1, Note End: 37283, Note Name: B5, Velocity: 37
Note Start: 0, Note End: 51966, Note Name: B6, Velocity: 47
Note Start: 1, Note End: 19987, Note Name: A#5, Velocity: 45
Note Start: 1, Note End: 37283, Note Name: B5, Velocity: 37
Note Start: 0, Note End: 51966, Note Name: B6, Velocity: 51
Note Start: 1, Note End: 12940, Note Name: D6, Velocity: 33
Note Start: 0, Note End: 34307, Note Name: D7, Velocity: 47
Note Start: 0, Note End: 794, Note Name: C5, Velocity: 33
Note Start: 0, Note End: 30490, Note Name: D5, Velocity: 47
Note Start: 1, Note End: 13066, Note Name: D#6, Velocity: 28
Note Start: 0, Note End: 13326, Note Name: D#7, Velocity: 42
Note Start: 0, Note End: 575, Note Name: G#5, Velocity: 36
Note Start: 1, Note End: 12940, Note Name: D6, Velocity: 28
Note Start: 0, Note End: 34307, Note Name: D7, Velocity: 42
Note Start: 249, Note End: 6409, Note Name: C5, Velocity: 28
Note Start: 0, Note End: 30490, Note Name: D5, Velocity: 42
Note Start: 1, Note End: 576, Note Name: G#5, Velocity: 39
Note Start: 1, Note End: 12940, Note Name: D6, Velocity: 28
Note Start: 0, Note End: 34307, Note Name: D7, Velocity: 42
Note Start: 0, Note End: 794, Note Name: C5, Velocity: 28
Note Start: 0, Note End: 30490, Note Name: D5, Velocity: 42
Note Start: 1, Note End: 13066, Note Name: D#6, Velocity: 28
Note Start: 0, Note End: 13326, Note Name: D#7, Velocity: 42
Note Start: 0, Note End: 575, Note Name: G#5, Velocity: 36
Note Start: 1, Note End: 12940, Note Name: D6, Velocity: 28
Note Start: 0, Note End: 34307, Note Name: D7, Velocity: 42
Note Start: 0, Note End: 794, Note Name: C5, Velocity: 28
Note Start: 0, Note End: 30490, Note Name: D5, Velocity: 42
Note Start: 5, Note End: 75111, Note Name: E6, Velocity: 85
Note Start: 0, Note End: 48313, Note Name: E7, Velocity: 51
Note Start: 0, Note End: 575, Note Name: G#5, Velocity: 88
Note Start: 1, Note End: 12940, Note Name: D6, Velocity: 23
Note Start: 0, Note End: 34307, Note Name: D7, Velocity: 37
Note Start: 218, Note End: 63680, Note Name: G#1, Velocity: 33
Note Start: 1, Note End: 17149, Note Name: A4, Velocity: 37
Note Start: 1, Note End: 795, Note Name: C5, Velocity: 36
Note Start: 0, Note End: 17148, Note Name: A4, Velocity: 31
Note Start: 0, Note End: 9491, Note Name: A#4, Velocity: 41
Note Start: 1, Note End: 17149, Note Name: A4, Velocity: 47
Note Start: 0, Note End: 9491, Note Name: A#4, Velocity: 61
Note Start: 1, Note End: 795, Note Name: C5, Velocity: 36
Note Start: 0, Note End: 17148, Note Name: A4, Velocity: 62
Note Start: 0, Note End: 9491, Note Name: A#4, Velocity: 62
Note Start: 0, Note End: 794, Note Name: C5, Velocity: 76
Note Start: 64, Note End: 77370, Note Name: F#3, Velocity: 114
Note Start: 27, Note End: 33848, Note Name: D4, Velocity: 65
Note Start: 64, Note End: 11098, Note Name: D#4, Velocity: 65
Note Start: 1, Note End: 17149, Note Name: A4, Velocity: 79
Note Start: 206, Note End: 19015, Note Name: B4, Velocity: 37
Note Start: 0, Note End: 37282, Note Name: B5, Velocity: 51
Note Start: 1, Note End: 795, Note Name: C5, Velocity: 38
Note Start: 0, Note End: 21503, Note Name: C6, Velocity: 52
Note Start: 1, Note End: 12178, Note Name: F5, Velocity: 60
Note Start: 0, Note End: 37083, Note Name: F6, Velocity: 74
Note Start: 1, Note End: 36154, Note Name: F#5, Velocity: 81
Note Start: 0, Note End: 32662, Note Name: F#6, Velocity: 95
Note Start: 5, Note End: 22538, Note Name: A5, Velocity: 123
Note Start: 0, Note End: 13192, Note Name: A6, Velocity: 127
Note Start: 0, Note End: 38169, Note Name: B0, Velocity: 127
Note Start: 0, Note End: 26112, Note Name: C#1, Velocity: 118
Note Start: 0, Note End: 38169, Note Name: D#1, Velocity: 118
Note Start: 0, Note End: 38184, Note Name: B1, Velocity: 127
Note Start: 1, Note End: 22534, Note Name: A5, Velocity: 36
Note Start: 0, Note End: 39196, Note Name: A3, Velocity: 36
Note Start: 1, Note End: 22534, Note Name: A5, Velocity: 36
Note Start: 0, Note End: 39196, Note Name: A3, Velocity: 36
Note Start: 155, Note End: 9372, Note Name: A5, Velocity: 36
Note Start: 0, Note End: 19986, Note Name: A#5, Velocity: 50
Note Start: 0, Note End: 39196, Note Name: A3, Velocity: 36
Note Start: 0, Note End: 10494, Note Name: A#3, Velocity: 50
Note Start: 155, Note End: 9372, Note Name: A5, Velocity: 67
Note Start: 0, Note End: 19986, Note Name: A#5, Velocity: 67
Note Start: 0, Note End: 21503, Note Name: C6, Velocity: 81
Note Start: 0, Note End: 39196, Note Name: A3, Velocity: 67
Note Start: 0, Note End: 10494, Note Name: A#3, Velocity: 67
Note Start: 0, Note End: 10494, Note Name: C4, Velocity: 81
Note Start: 1, Note End: 22534, Note Name: A5, Velocity: 36
Note Start: 0, Note End: 39196, Note Name: A3, Velocity: 36
Note Start: 1, Note End: 22534, Note Name: A5, Velocity: 118
Note Start: 0, Note End: 13192, Note Name: A6, Velocity: 127
Note Start: 0, Note End: 38169, Note Name: B0, Velocity: 127
Note Start: 0, Note End: 26112, Note Name: C#1, Velocity: 113
Note Start: 0, Note End: 38169, Note Name: D#1, Velocity: 113
Note Start: 0, Note End: 38184, Note Name: B1, Velocity: 127
Note Start: 289, Note End: 7743, Note Name: A5, Velocity: 36
Note Start: 83, Note End: 851, Note Name: A#3, Velocity: 45
Note Start: 1, Note End: 22534, Note Name: A5, Velocity: 28
Note Start: 0, Note End: 37282, Note Name: B5, Velocity: 42
Note Start: 1, Note End: 22534, Note Name: A5, Velocity: 121
Note Start: 0, Note End: 13192, Note Name: A6, Velocity: 127
Note Start: 0, Note End: 38169, Note Name: B0, Velocity: 127
Note Start: 0, Note End: 26112, Note Name: C#1, Velocity: 116
Note Start: 0, Note End: 38169, Note Name: D#1, Velocity: 116
Note Start: 0, Note End: 38184, Note Name: B1, Velocity: 127
Note Start: 1, Note End: 22534, Note Name: A5, Velocity: 101
Note Start: 1, Note End: 26625, Note Name: C7, Velocity: 118
Note Start: 0, Note End: 60928, Note Name: C8, Velocity: 127
Note Start: 0, Note End: 38169, Note Name: B0, Velocity: 127
Note Start: 0, Note End: 26112, Note Name: C#1, Velocity: 113
Note Start: 0, Note End: 38169, Note Name: D#1, Velocity: 113
Note Start: 0, Note End: 38184, Note Name: B1, Velocity: 126
Note Start: 5, Note End: 9496, Note Name: A#4, Velocity: 41
Note Start: 1, Note End: 9492, Note Name: A#4, Velocity: 36
Note Start: 1, Note End: 23836, Note Name: G6, Velocity: 45
Note Start: 0, Note End: 9491, Note Name: A#4, Velocity: 36
Note Start: 124, Note End: 10794, Note Name: G#6, Velocity: 36
Note Start: 1, Note End: 23836, Note Name: G6, Velocity: 31
Note Start: 0, Note End: 9491, Note Name: A#4, Velocity: 36
Note Start: 1, Note End: 576, Note Name: G#5, Velocity: 45
