Processing zeg2.midi...
Track 0: 
Note Start: 0, Note End: 14345, Note Name: C#3, Velocity: 66
Note Start: 37, Note End: 31287, Note Name: F#3, Velocity: 23
Note Start: 0, Note End: 18442, Note Name: D#3, Velocity: 66
Note Start: 9, Note End: 13510, Note Name: G3, Velocity: 23
Note Start: 0, Note End: 30904, Note Name: E3, Velocity: 66
Note Start: 2, Note End: 12838, Note Name: A3, Velocity: 23
Note Start: 0, Note End: 31250, Note Name: F#3, Velocity: 66
Note Start: 7, Note End: 1797, Note Name: C#4, Velocity: 23
Note Start: 0, Note End: 13117, Note Name: A#3, Velocity: 66
Note Start: 18, Note End: 14651, Note Name: D4, Velocity: 18
Note Start: 0, Note End: 32232, Note Name: B3, Velocity: 61
Note Start: 7, Note End: 1797, Note Name: D#4, Velocity: 23
Note Start: 0, Note End: 13117, Note Name: A#3, Velocity: 66
Note Start: 30, Note End: 12062, Note Name: F4, Velocity: 23
Note Start: 0, Note End: 32232, Note Name: B3, Velocity: 66
Note Start: 16, Note End: 32901, Note Name: F#4, Velocity: 23
Note Start: 0, Note End: 1790, Note Name: D#4, Velocity: 66
Note Start: 12, Note End: 28171, Note Name: G#4, Velocity: 23
Note Start: 0, Note End: 12032, Note Name: G4, Velocity: 66
Note Start: 19, Note End: 6652, Note Name: A4, Velocity: 18
Note Start: 0, Note End: 32885, Note Name: F#4, Velocity: 61
Note Start: 4, Note End: 7661, Note Name: A#4, Velocity: 30
Note Start: 0, Note End: 14851, Note Name: A#1, Velocity: 80
Note Start: 0, Note End: 12032, Note Name: F4, Velocity: 90
Note Start: 0, Note End: 14386, Note Name: C4, Velocity: 48
Note Start: 0, Note End: 33119, Note Name: E4, Velocity: 58
Note Start: 0, Note End: 6633, Note Name: A4, Velocity: 80
Note Start: 0, Note End: 7145, Note Name: D#5, Velocity: 90
Note Start: 0, Note End: 34055, Note Name: A#2, Velocity: 65
Note Start: 0, Note End: 14345, Note Name: C#3, Velocity: 79
Note Start: 0, Note End: 22537, Note Name: C2, Velocity: 84
Note Start: 0, Note End: 22537, Note Name: C1, Velocity: 16
Note Start: 0, Note End: 7679, Note Name: G#1, Velocity: 19
Note Start: 0, Note End: 14851, Note Name: A#1, Velocity: 20
Note Start: 0, Note End: 14851, Note Name: D2, Velocity: 31
Note Start: 0, Note End: 7145, Note Name: D#5, Velocity: 108
Note Start: 0, Note End: 6633, Note Name: A4, Velocity: 47
Note Start: 0, Note End: 7145, Note Name: D#5, Velocity: 61
Note Start: 0, Note End: 14386, Note Name: C4, Velocity: 80
Note Start: 0, Note End: 33119, Note Name: E4, Velocity: 90
Note Start: 0, Note End: 14345, Note Name: C#3, Velocity: 76
Note Start: 0, Note End: 12836, Note Name: A3, Velocity: 86
Note Start: 0, Note End: 34055, Note Name: A#2, Velocity: 76
Note Start: 0, Note End: 14345, Note Name: C#3, Velocity: 86
Note Start: 0, Note End: 14851, Note Name: A#1, Velocity: 76
Note Start: 0, Note End: 34077, Note Name: F2, Velocity: 86
Note Start: 0, Note End: 33257, Note Name: E5, Velocity: 108
Note Start: 9, Note End: 7154, Note Name: D#5, Velocity: 108
Note Start: 10, Note End: 14861, Note Name: A#1, Velocity: 49
Note Start: 0, Note End: 12032, Note Name: F4, Velocity: 59
Note Start: 0, Note End: 14386, Note Name: C4, Velocity: 49
Note Start: 0, Note End: 33119, Note Name: E4, Velocity: 59
Note Start: 0, Note End: 6633, Note Name: A4, Velocity: 49
Note Start: 0, Note End: 7145, Note Name: D#5, Velocity: 59
Note Start: 0, Note End: 34055, Note Name: A#2, Velocity: 63
Note Start: 0, Note End: 14345, Note Name: C#3, Velocity: 73
Note Start: 0, Note End: 22537, Note Name: C2, Velocity: 82
Note Start: 0, Note End: 22537, Note Name: C1, Velocity: 14
Note Start: 0, Note End: 7679, Note Name: G#1, Velocity: 17
Note Start: 0, Note End: 14851, Note Name: A#1, Velocity: 18
Note Start: 0, Note End: 14851, Note Name: D2, Velocity: 29
Note Start: 0, Note End: 28159, Note Name: G5, Velocity: 103
Note Start: 0, Note End: 6633, Note Name: A4, Velocity: 74
Note Start: 0, Note End: 7145, Note Name: D#5, Velocity: 88
Note Start: 0, Note End: 14386, Note Name: C4, Velocity: 49
Note Start: 0, Note End: 33119, Note Name: E4, Velocity: 63
Note Start: 0, Note End: 14345, Note Name: C#3, Velocity: 74
Note Start: 0, Note End: 12836, Note Name: A3, Velocity: 84
Note Start: 0, Note End: 34055, Note Name: A#2, Velocity: 74
Note Start: 0, Note End: 14345, Note Name: C#3, Velocity: 84
Note Start: 0, Note End: 14851, Note Name: A#1, Velocity: 74
Note Start: 0, Note End: 34077, Note Name: F2, Velocity: 84
Note Start: 10, Note End: 7667, Note Name: F#5, Velocity: 109
Note Start: 23, Note End: 28182, Note Name: G#4, Velocity: 108
Note Start: 330, Note End: 25365, Note Name: G5, Velocity: 103
Note Start: 0, Note End: 4073, Note Name: C#2, Velocity: 84
Note Start: 0, Note End: 22537, Note Name: C1, Velocity: 16
Note Start: 0, Note End: 7679, Note Name: G#1, Velocity: 19
Note Start: 0, Note End: 14851, Note Name: A#1, Velocity: 20
Note Start: 0, Note End: 14851, Note Name: D2, Velocity: 31
Note Start: 0, Note End: 7679, Note Name: G#5, Velocity: 108
Note Start: 0, Note End: 1790, Note Name: A5, Velocity: 76
Note Start: 0, Note End: 38168, Note Name: B5, Velocity: 90
Note Start: 0, Note End: 33119, Note Name: E4, Velocity: 51
Note Start: 0, Note End: 6633, Note Name: A4, Velocity: 51
Note Start: 0, Note End: 7145, Note Name: D#5, Velocity: 65
Note Start: 0, Note End: 14345, Note Name: C#3, Velocity: 76
Note Start: 0, Note End: 12836, Note Name: A3, Velocity: 86
Note Start: 0, Note End: 14386, Note Name: C4, Velocity: 84
Note Start: 0, Note End: 34055, Note Name: A#2, Velocity: 79
Note Start: 0, Note End: 14851, Note Name: A#1, Velocity: 76
Note Start: 0, Note End: 34077, Note Name: F2, Velocity: 90
Note Start: 1, Note End: 28160, Note Name: G5, Velocity: 108
Note Start: 0, Note End: 39492, Note Name: C3, Velocity: 26
Note Start: 1, Note End: 30525, Note Name: A2, Velocity: 74
Note Start: 0, Note End: 22537, Note Name: C1, Velocity: 11
Note Start: 0, Note End: 7679, Note Name: G#1, Velocity: 14
Note Start: 0, Note End: 14851, Note Name: A#1, Velocity: 15
Note Start: 0, Note End: 14851, Note Name: D2, Velocity: 26
Note Start: 0, Note End: 28159, Note Name: G5, Velocity: 108
Note Start: 0, Note End: 38168, Note Name: B5, Velocity: 71
Note Start: 0, Note End: 7657, Note Name: C#6, Velocity: 85
Note Start: 0, Note End: 33119, Note Name: E4, Velocity: 47
Note Start: 0, Note End: 6633, Note Name: A4, Velocity: 47
Note Start: 0, Note End: 7145, Note Name: D#5, Velocity: 57
Note Start: 0, Note End: 14345, Note Name: C#3, Velocity: 71
Note Start: 0, Note End: 12836, Note Name: A3, Velocity: 81
Note Start: 0, Note End: 14386, Note Name: C4, Velocity: 79
Note Start: 0, Note End: 4073, Note Name: C#2, Velocity: 66
Note Start: 0, Note End: 4095, Note Name: G#2, Velocity: 80
Note Start: 0, Note End: 7657, Note Name: C#1, Velocity: 55
Note Start: 0, Note End: 7679, Note Name: G#1, Velocity: 69
Note Start: 2, Note End: 39494, Note Name: C3, Velocity: 30
Note Start: 11, Note End: 39503, Note Name: C3, Velocity: 31
Note Start: 0, Note End: 39492, Note Name: C3, Velocity: 30
Note Start: 1, Note End: 39493, Note Name: C3, Velocity: 28
Note Start: 2, Note End: 12034, Note Name: G4, Velocity: 108
Note Start: 0, Note End: 39492, Note Name: C3, Velocity: 29
Note Start: 3, Note End: 39495, Note Name: C3, Velocity: 30
Note Start: 12, Note End: 39504, Note Name: C3, Velocity: 29
Note Start: 4, Note End: 39496, Note Name: C3, Velocity: 34
Note Start: 7, Note End: 39499, Note Name: C3, Velocity: 31
Note Start: 0, Note End: 39492, Note Name: C3, Velocity: 31
Note Start: 5, Note End: 39497, Note Name: C3, Velocity: 31
Note Start: 0, Note End: 39492, Note Name: C3, Velocity: 32
Note Start: 7, Note End: 39499, Note Name: C3, Velocity: 33
Note Start: 0, Note End: 39492, Note Name: C3, Velocity: 31
Note Start: 4, Note End: 39496, Note Name: C3, Velocity: 29
Note Start: 3, Note End: 39495, Note Name: C3, Velocity: 31
Note Start: 8, Note End: 39500, Note Name: C3, Velocity: 31
Note Start: 0, Note End: 39492, Note Name: C3, Velocity: 34
Note Start: 20, Note End: 39512, Note Name: C3, Velocity: 39
Note Start: 17, Note End: 39509, Note Name: C3, Velocity: 38
Note Start: 15, Note End: 39507, Note Name: C3, Velocity: 39
Note Start: 3, Note End: 39495, Note Name: C3, Velocity: 40
Note Start: 2, Note End: 28161, Note Name: G#4, Velocity: 108
Note Start: 24, Note End: 39516, Note Name: C3, Velocity: 40
Note Start: 26, Note End: 39518, Note Name: C3, Velocity: 37
Note Start: 23, Note End: 39515, Note Name: C3, Velocity: 37
Note Start: 0, Note End: 39492, Note Name: C3, Velocity: 40
Note Start: 8, Note End: 12040, Note Name: F4, Velocity: 108
Note Start: 10, Note End: 39502, Note Name: C3, Velocity: 39
Note Start: 12, Note End: 39504, Note Name: C3, Velocity: 42
Note Start: 17, Note End: 39509, Note Name: C3, Velocity: 42
Note Start: 2, Note End: 39494, Note Name: C3, Velocity: 44
Note Start: 1, Note End: 12033, Note Name: G4, Velocity: 108
Note Start: 0, Note End: 22537, Note Name: C2, Velocity: 42
Note Start: 0, Note End: 16873, Note Name: D#2, Velocity: 42
Note Start: 0, Note End: 14873, Note Name: G2, Velocity: 52
Note Start: 0, Note End: 22537, Note Name: C1, Velocity: 55
Note Start: 0, Note End: 16873, Note Name: D#1, Velocity: 55
Note Start: 0, Note End: 14851, Note Name: G1, Velocity: 69
Note Start: 20, Note End: 39512, Note Name: C3, Velocity: 43
Note Start: 22, Note End: 39514, Note Name: C3, Velocity: 45
Note Start: 8, Note End: 39500, Note Name: C3, Velocity: 48
Note Start: 3, Note End: 7660, Note Name: A#4, Velocity: 108
Note Start: 1, Note End: 39493, Note Name: C3, Velocity: 48
Note Start: 1, Note End: 39493, Note Name: C3, Velocity: 44
Note Start: 9, Note End: 39501, Note Name: C3, Velocity: 46
Note Start: 2, Note End: 1792, Note Name: D#4, Velocity: 108
Note Start: 12, Note End: 39504, Note Name: C3, Velocity: 45
Note Start: 2, Note End: 39494, Note Name: C3, Velocity: 45
Note Start: 3, Note End: 39495, Note Name: C3, Velocity: 44
Note Start: 2, Note End: 1792, Note Name: C#4, Velocity: 108
Note Start: 3, Note End: 39495, Note Name: C3, Velocity: 46
Note Start: 4, Note End: 39496, Note Name: C3, Velocity: 52
Note Start: 5, Note End: 14391, Note Name: C4, Velocity: 108
Note Start: 4, Note End: 39496, Note Name: C3, Velocity: 51
Note Start: 4, Note End: 39496, Note Name: C3, Velocity: 49
Note Start: 10, Note End: 39502, Note Name: C3, Velocity: 56
Note Start: 0, Note End: 30524, Note Name: A2, Velocity: 54
Note Start: 0, Note End: 12032, Note Name: F4, Velocity: 41
Note Start: 0, Note End: 11264, Note Name: A0, Velocity: 25
Note Start: 0, Note End: 14386, Note Name: C4, Velocity: 105
Note Start: 6, Note End: 13507, Note Name: G3, Velocity: 73
Note Start: 10, Note End: 29237, Note Name: B4, Velocity: 81
Note Start: 23, Note End: 1813, Note Name: C#4, Velocity: 81
Note Start: 1, Note End: 7168, Note Name: F5, Velocity: 81
Note Start: 23, Note End: 28182, Note Name: G5, Velocity: 81
Note Start: 4, Note End: 12036, Note Name: G#3, Velocity: 40
Note Start: 0, Note End: 12032, Note Name: G4, Velocity: 54
Note Start: 0, Note End: 12032, Note Name: G#3, Velocity: 40
Note Start: 0, Note End: 12032, Note Name: G4, Velocity: 54
Note Start: 0, Note End: 12032, Note Name: F4, Velocity: 41
Note Start: 0, Note End: 11264, Note Name: A0, Velocity: 25
Note Start: 0, Note End: 38168, Note Name: B5, Velocity: 65
Note Start: 0, Note End: 48413, Note Name: B6, Velocity: 60
Note Start: 0, Note End: 12032, Note Name: G4, Velocity: 54
Note Start: 0, Note End: 7657, Note Name: A#4, Velocity: 64
Note Start: 0, Note End: 12032, Note Name: G#3, Velocity: 54
Note Start: 0, Note End: 12032, Note Name: F4, Velocity: 54
Note Start: 12, Note End: 7691, Note Name: G#5, Velocity: 81
Note Start: 4, Note End: 6637, Note Name: A4, Velocity: 37
Note Start: 0, Note End: 7679, Note Name: G#5, Velocity: 47
Note Start: 0, Note End: 6633, Note Name: C#5, Velocity: 37
Note Start: 0, Note End: 7167, Note Name: F5, Velocity: 47
Note Start: 0, Note End: 1790, Note Name: C#4, Velocity: 37
Note Start: 0, Note End: 12032, Note Name: F4, Velocity: 47
Note Start: 0, Note End: 1790, Note Name: C#4, Velocity: 37
Note Start: 0, Note End: 12032, Note Name: F4, Velocity: 47
Note Start: 0, Note End: 12836, Note Name: A3, Velocity: 53
Note Start: 0, Note End: 28159, Note Name: G#4, Velocity: 63
Note Start: 2, Note End: 39494, Note Name: C3, Velocity: 28
Note Start: 1, Note End: 12033, Note Name: F4, Velocity: 32
Note Start: 0, Note End: 7657, Note Name: F#5, Velocity: 46
Note Start: 0, Note End: 6633, Note Name: A4, Velocity: 32
Note Start: 0, Note End: 6633, Note Name: C#5, Velocity: 46
Note Start: 0, Note End: 12836, Note Name: A3, Velocity: 32
Note Start: 0, Note End: 1790, Note Name: C#4, Velocity: 46
Note Start: 0, Note End: 1790, Note Name: C#4, Velocity: 35
Note Start: 0, Note End: 6633, Note Name: A4, Velocity: 49
Note Start: 0, Note End: 12836, Note Name: A3, Velocity: 32
Note Start: 0, Note End: 1790, Note Name: C#4, Velocity: 46
Note Start: 0, Note End: 1790, Note Name: C#4, Velocity: 35
Note Start: 0, Note End: 6633, Note Name: A4, Velocity: 49
Note Start: 0, Note End: 51674, Note Name: F3, Velocity: 48
Note Start: 0, Note End: 32885, Note Name: F#4, Velocity: 62
Note Start: 0, Note End: 12836, Note Name: A3, Velocity: 74
Note Start: 0, Note End: 12032, Note Name: F4, Velocity: 40
Note Start: 0, Note End: 16873, Note Name: D#1, Velocity: 13
Note Start: 0, Note End: 16873, Note Name: D#2, Velocity: 31
Note Start: 0, Note End: 6633, Note Name: C6, Velocity: 63
Note Start: 0, Note End: 48413, Note Name: B6, Velocity: 58
Note Start: 0, Note End: 12032, Note Name: G4, Velocity: 52
Note Start: 0, Note End: 7657, Note Name: A#4, Velocity: 62
Note Start: 0, Note End: 12032, Note Name: G#3, Velocity: 51
Note Start: 0, Note End: 12032, Note Name: F4, Velocity: 51
Note Start: 0, Note End: 16873, Note Name: D#1, Velocity: 77
Note Start: 0, Note End: 16873, Note Name: D#2, Velocity: 91
Note Start: 4, Note End: 39496, Note Name: C3, Velocity: 32
Note Start: 3, Note End: 39495, Note Name: C3, Velocity: 30
Note Start: 7, Note End: 39499, Note Name: C3, Velocity: 27
Note Start: 0, Note End: 39492, Note Name: C3, Velocity: 27
Note Start: 3, Note End: 39495, Note Name: C3, Velocity: 29
Note Start: 3, Note End: 39495, Note Name: C3, Velocity: 28
Note Start: 0, Note End: 39492, Note Name: C3, Velocity: 28
Note Start: 3, Note End: 28162, Note Name: G#4, Velocity: 81
Note Start: 0, Note End: 39492, Note Name: C3, Velocity: 29
Note Start: 9, Note End: 39501, Note Name: C3, Velocity: 29
Note Start: 0, Note End: 39492, Note Name: C3, Velocity: 34
Note Start: 5, Note End: 39497, Note Name: C3, Velocity: 32
Note Start: 1, Note End: 39493, Note Name: C3, Velocity: 35
Note Start: 11, Note End: 39503, Note Name: C3, Velocity: 33
Note Start: 1, Note End: 39493, Note Name: C3, Velocity: 34
Note Start: 0, Note End: 39492, Note Name: C3, Velocity: 38
Note Start: 0, Note End: 39492, Note Name: C3, Velocity: 39
Note Start: 6, Note End: 39498, Note Name: C3, Velocity: 38
Note Start: 15, Note End: 39507, Note Name: C3, Velocity: 39
Note Start: 2, Note End: 39494, Note Name: C3, Velocity: 41
Note Start: 21, Note End: 32906, Note Name: F#4, Velocity: 81
Note Start: 5, Note End: 39497, Note Name: C3, Velocity: 41
Note Start: 4, Note End: 12840, Note Name: A3, Velocity: 90
Note Start: 11, Note End: 39503, Note Name: C3, Velocity: 42
Note Start: 2, Note End: 39494, Note Name: C3, Velocity: 44
Note Start: 16, Note End: 39508, Note Name: C3, Velocity: 46
Note Start: 2, Note End: 39494, Note Name: C3, Velocity: 46
Note Start: 0, Note End: 39492, Note Name: C3, Velocity: 46
Note Start: 27, Note End: 13144, Note Name: A#3, Velocity: 85
Note Start: 6, Note End: 39498, Note Name: C3, Velocity: 49
Note Start: 20, Note End: 39512, Note Name: C3, Velocity: 50
Note Start: 10, Note End: 39502, Note Name: C3, Velocity: 47
Note Start: 11, Note End: 39503, Note Name: C3, Velocity: 51
Note Start: 3, Note End: 39495, Note Name: C3, Velocity: 52
Note Start: 5, Note End: 39497, Note Name: C3, Velocity: 53
Note Start: 0, Note End: 14386, Note Name: C4, Velocity: 67
Note Start: 0, Note End: 22537, Note Name: C2, Velocity: 71
Note Start: 0, Note End: 30524, Note Name: A2, Velocity: 54
Note Start: 0, Note End: 12032, Note Name: F4, Velocity: 41
Note Start: 0, Note End: 22537, Note Name: C1, Velocity: 9
Note Start: 0, Note End: 22537, Note Name: C2, Velocity: 27
Note Start: 0, Note End: 14386, Note Name: C4, Velocity: 90
Note Start: 0, Note End: 22537, Note Name: C2, Velocity: 44
Note Start: 0, Note End: 39492, Note Name: C3, Velocity: 58
Note Start: 0, Note End: 22537, Note Name: C1, Velocity: 74
Note Start: 0, Note End: 22537, Note Name: C2, Velocity: 88
Note Start: 5, Note End: 13506, Note Name: G3, Velocity: 90
Note Start: 30, Note End: 12866, Note Name: A3, Velocity: 90
Note Start: 122, Note End: 13239, Note Name: A#3, Velocity: 90
Note Start: 182, Note End: 13752, Note Name: C4, Velocity: 90
Note Start: 1, Note End: 14346, Note Name: C#3, Velocity: 48
Note Start: 0, Note End: 32232, Note Name: B3, Velocity: 62
Note Start: 0, Note End: 18420, Note Name: B1, Velocity: 71
Note Start: 0, Note End: 12032, Note Name: F4, Velocity: 38
Note Start: 0, Note End: 7657, Note Name: C#1, Velocity: 5
Note Start: 0, Note End: 18420, Note Name: B1, Velocity: 22
Note Start: 0, Note End: 14633, Note Name: D4, Velocity: 90
Note Start: 0, Note End: 4073, Note Name: C#2, Velocity: 39
Note Start: 0, Note End: 18420, Note Name: B2, Velocity: 53
Note Start: 0, Note End: 7657, Note Name: C#1, Velocity: 69
Note Start: 0, Note End: 18420, Note Name: B1, Velocity: 83
Note Start: 11, Note End: 12847, Note Name: A3, Velocity: 90
Note Start: 6, Note End: 14639, Note Name: D4, Velocity: 90
Note Start: 5, Note End: 12841, Note Name: A3, Velocity: 90
Note Start: 1, Note End: 18443, Note Name: D#3, Velocity: 54
Note Start: 0, Note End: 13117, Note Name: A#3, Velocity: 68
Note Start: 0, Note End: 16873, Note Name: D#2, Velocity: 66
Note Start: 0, Note End: 12032, Note Name: F4, Velocity: 37
Note Start: 0, Note End: 16873, Note Name: D#1, Velocity: 11
Note Start: 0, Note End: 14851, Note Name: A#1, Velocity: 28
Note Start: 0, Note End: 1790, Note Name: D#4, Velocity: 91
Note Start: 0, Note End: 16873, Note Name: D#2, Velocity: 45
